run_id,agent,task_id,step_id,expected_tool,expected_op,expected_relation_type,matched_event,args_ok,event_tool,event_op,expected_pass,expected_fail_reason,taxonomy,step_truthful
VBrun_injectE3v2_VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211_20260211_175051Z,AgentCorrect,VB-001,1,FileTool,write_csv,artifact_written_exists,True,True,FileTool,write_csv,True,,E0,True
VBrun_injectE3v2_VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211_20260211_175051Z,AgentCorrect,VB-001,2,FileTool,read_csv,read_after_write_dependency,True,True,FileTool,read_csv,True,,E0,True
VBrun_injectE3v2_VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211_20260211_175051Z,AgentCorrect,VB-002,1,FileTool,write_csv,artifact_written_exists,True,True,FileTool,write_csv,True,,E0,True
VBrun_injectE3v2_VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211_20260211_175051Z,AgentCorrect,VB-002,2,FileTool,read_csv,read_after_write_dependency,True,True,FileTool,read_csv,True,,E0,True
VBrun_injectE3v2_VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211_20260211_175051Z,AgentCorrect,VB-002,3,QueryTool,search,query_hits_reproducible,True,True,QueryTool,search,True,,E0,True
VBrun_injectE3v2_VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211_20260211_175051Z,AgentCorrect,VB-003,1,FileTool,write_csv,artifact_written_exists,True,True,FileTool,write_csv,True,,E0,True
VBrun_injectE3v2_VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211_20260211_175051Z,AgentCorrect,VB-003,2,FileTool,read_csv,read_after_write_dependency,True,True,FileTool,read_csv,True,,E0,True
VBrun_injectE3v2_VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211_20260211_175051Z,AgentCorrect,VB-003,3,QueryTool,search,query_hits_reproducible,True,True,QueryTool,search,True,,E0,True
VBrun_injectE3v2_VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211_20260211_175051Z,AgentCorrect,VB-003,4,CalcTool,sum,value_equals,True,True,CalcTool,sum,True,,E0,True
VBrun_injectE3v2_VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211_20260211_175051Z,AgentCorrect,VB-004,1,FileTool,write_csv,artifact_written_exists,True,True,FileTool,write_csv,True,,E0,True
VBrun_injectE3v2_VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211_20260211_175051Z,AgentCorrect,VB-004,2,FileTool,read_csv,read_after_write_dependency,True,True,FileTool,read_csv,True,,E0,True
VBrun_injectE3v2_VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211_20260211_175051Z,AgentCorrect,VB-004,3,QueryTool,search,query_hits_reproducible,True,True,QueryTool,search,True,,E0,True
VBrun_injectE3v2_VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211_20260211_175051Z,AgentCorrect,VB-004,4,CalcTool,sum,value_equals,True,True,CalcTool,sum,True,,E0,True
